"date","geography","geography code","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"2011","Thurrock","E06000034","Total",157705,12005,6428,3803,9949,2113,4117,3623,9804,11162,36566,29375,8739,10738,6657,1844,782,36.8,36.0
"2011","Cambridgeshire","E10000003","Total",621210,36828,20516,13179,34810,7408,14939,17105,44194,41721,130927,121138,38216,53140,33216,9046,4827,39.5,39.0
"2011","Essex","E10000012","Total",1393587,81796,47295,30296,83001,17478,35911,32392,79047,78007,275860,282575,94496,133323,86926,22971,12213,40.9,41.0
"2011","Hertfordshire","E10000015","Total",1116062,74066,40712,25644,68824,14278,29307,25476,65239,69805,241763,224554,62479,87590,61248,16520,8557,39.0,39.0
"2011","Norfolk","E10000020","Total",857888,46531,25317,16340,46376,10421,20122,20071,51984,49508,154289,168410,63288,96126,63291,17068,8746,42.7,43.0
"2011","Suffolk","E10000029","Total",728163,42226,24241,15255,42304,8876,18354,15678,40513,42682,136963,144426,51606,75241,49070,13374,7354,41.7,42.0
"2011","Camden","E09000007","Total",220338,13168,6781,4117,9594,1805,3540,7178,21863,25923,59573,33564,9255,12937,7897,2048,1095,35.7,33.0
"2011","City of London","E09000001","Total",7375,236,117,65,169,33,72,92,545,956,2045,1547,463,587,331,75,42,41.4,39.0
"2011","Hackney","E09000012","Total",246270,19149,9618,5742,13878,2738,5270,5402,21685,33838,68805,35479,7271,9673,5775,1324,623,32.4,30.0
"2011","Hammersmith and Fulham","E09000013","Total",182493,11900,5446,3113,7621,1550,2883,3483,17279,26021,52859,27248,6677,9102,5300,1297,714,34.7,32.0
"2011","Haringey","E09000014","Total",254926,18112,9798,5977,15234,2949,5600,5704,18835,28062,71358,41685,9243,12575,7373,1576,845,34.2,32.0
"2011","Islington","E09000019","Total",206125,12289,5900,3683,9118,1835,3560,5405,20453,29744,57433,31441,7228,9885,6020,1443,688,34.5,31.0
"2011","Kensington and Chelsea","E09000020","Total",158649,9189,4765,2849,6442,1137,2308,3030,11322,16602,45177,28537,8176,10928,5720,1539,928,37.8,36.0
"2011","Lambeth","E09000022","Total",303086,20701,10196,6180,14754,2955,5576,5527,26702,43135,87291,47870,9012,12617,7725,1936,909,33.7,31.0
"2011","Lewisham","E09000023","Total",275885,22004,10580,6085,15268,3199,6371,6557,20883,26465,74795,47754,9789,13641,9013,2271,1210,34.6,33.0
"2011","Newham","E09000025","Total",307984,25384,12846,7988,19587,4089,7934,8388,32586,40437,76602,43017,8533,11461,6796,1567,769,31.3,29.0
"2011","Southwark","E09000028","Total",288283,20739,9836,5726,14097,2984,5656,7326,26996,35725,80522,47275,9072,11979,7466,1949,935,33.7,32.0
"2011","Tower Hamlets","E09000030","Total",254096,18750,9697,5834,13202,2660,4953,7010,30818,40157,70245,29337,5863,8169,5611,1256,534,30.9,29.0
"2011","Wandsworth","E09000032","Total",306995,21670,9230,5344,12521,2241,4621,5541,23699,47217,93803,43539,10658,14455,8763,2355,1338,34.5,32.0
"2011","Westminster","E09000033","Total",219396,12617,6071,3655,8665,1576,3374,5047,17490,27498,64114,35570,9205,13207,8207,2042,1058,36.7,34.0
"2011","Barking and Dagenham","E09000002","Total",185911,18676,8989,5342,12757,2534,5246,4805,13053,14971,43463,29955,6799,9276,6982,2102,961,33.4,32.0
"2011","Barnet","E09000003","Total",356386,26239,13804,8548,21293,4350,8839,7391,23913,31425,83864,62376,16912,23723,16034,4785,2890,36.8,35.0
"2011","Bexley","E09000004","Total",231997,15182,8535,5480,15018,3351,6574,5903,14832,14041,47146,45928,12795,18695,13408,3403,1706,38.8,39.0
"2011","Brent","E09000005","Total",311215,22446,11521,7127,17942,3721,7607,7261,24198,34698,76288,53462,12268,17944,11137,2408,1187,35.0,32.0
