,geography,geography code,Rural Urban,Cars: No cars or vans in household; measures: Value,Cars: 1 car or van in household; measures: Value,"Cars: (2, 3, 4) car or van in household; measures: Value",Young 0-19,Working-age 20-64,Retired-age 65-90,Distance travelled to work: Work mainly at or from home; measures: Value,Distance < 10 km,10 km < Distance < 30 km,30 km < Distanc < 60 km,Unemployed,Economically active,Economically Inactive
143,Poole,E06000029,Total,11245,28006,24279,32577,84910,30158,7451,47541,5681,4960,3413,72307,30671
144,South Gloucestershire,E06000025,Total,14044,45398,48096,63990,154368,44409,12787,78073,25719,8880,5354,137844,49270
145,Swindon,E06000030,Total,19060,39031,30269,51213,129089,28854,8849,70446,8611,13367,6518,110521,37041
146,Torbay,E06000027,Total,15063,26678,17269,27628,72477,30854,6853,35736,5542,3575,4275,57520,32205
147,Wiltshire,E06000054,Total,28660,80315,85219,114045,271448,85488,32701,103048,54934,29721,9999,240793,88803
148,Devon,E10000008,Total,56105,142566,123973,159737,418236,168426,56771,162293,77742,25399,15256,356591,169372
149,Dorset,E10000009,Total,28021,78377,73815,86321,222439,104145,28022,87582,39874,17761,7986,191957,93498
150,Gloucestershire,E10000013,Total,43480,106491,104644,136588,349041,111355,37306,149036,61664,27776,14232,302401,120455
151,Somerset,E10000027,Total,36092,98217,92680,120821,297491,111660,36817,120339,55257,22532,11350,258418,111417
152,Isle of Anglesey,W06000001,Total,5517,13066,12011,14939,39166,15646,4026,12158,8287,3263,2381,30642,17795
153,Gwynedd,W06000002,Total,11230,22788,18455,27955,68779,25140,8546,22852,10495,7170,3176,54819,30918
154,Conwy,W06000003,Total,11128,22621,17428,24365,62701,28162,6743,23745,10221,5182,3362,50430,28114
155,Denbighshire,W06000004,Total,8515,17818,14213,21766,52278,19690,5136,18822,9312,4470,2857,41552,23267
156,Flintshire,W06000005,Total,10834,26756,26191,36216,89454,26836,6577,35212,20791,6355,4332,74625,33368
157,Wrexham,W06000006,Total,12647,23903,20479,32225,79768,22851,5324,35600,13306,5237,4128,64285,30278
158,Powys,W06000023,Total,8757,24996,24592,29136,73594,30246,13621,22029,13003,8868,2928,63918,29223
159,Ceredigion,W06000008,Total,5803,13627,12132,17092,43125,15705,6780,13149,5740,3826,1469,33595,22341
160,Pembrokeshire,W06000009,Total,9496,23392,20234,28006,67740,26693,9395,23336,11605,4541,3555,54565,29929
161,Carmarthenshire,W06000010,Total,14826,34265,29738,41994,103607,38176,11630,29819,23881,8580,4962,81255,46713
162,Swansea,W06000011,Total,26660,44849,31988,54812,141399,42812,8228,66353,12932,8131,6831,104629,65511
163,Neath Port Talbot,W06000012,Total,15407,26143,18843,31455,82306,26051,4081,29688,16451,4535,4630,59480,38876
164,Bridgend,W06000013,Total,12819,25715,19981,32072,82252,24854,4813,29772,16523,5650,4687,61762,36356
165,Vale of Glamorgan,W06000014,Total,10368,22989,20148,30305,72976,23055,5886,30523,14648,3541,3956,59428,28432
166,Cardiff,W06000015,Total,41400,61089,40068,84866,215672,45552,11998,108845,17895,9436,11566,163187,85515
167,Rhondda Cynon Taff,W06000016,Total,26978,42454,30231,56356,137981,40073,6778,43694,33623,6387,8104,100626,63317
168,Merthyr Tydfil,W06000024,Total,7213,10486,6565,14049,34957,9796,1680,13761,5333,2359,2481,25352,15544
169,Caerphilly,W06000018,Total,18137,32153,24189,44052,105189,29565,5347,37481,25263,3759,6731,78201,46018
170,Blaenau Gwent,W06000019,Total,8811,13315,8290,16271,41066,12477,1660,14679,7514,2424,3557,28588,19664
171,Torfaen,W06000020,Total,9090,16740,12694,22112,52593,16370,2582,23223,9198,2353,3163,40657,22287
172,Monmouthshire,W06000021,Total,5807,15376,17050,20821,51459,19043,6619,14583,12253,5885,2217,43055,20835
173,Newport,W06000022,Total,17076,25325,18771,37383,84602,23751,4728,38711,12361,4424,5616,65395,34130
