geography,geography code,Rural Urban,Cars: No cars or vans in household; measures: Value,Cars: 1 car or van in household; measures: Value,Cars: 2 cars or vans in household; measures: Value,Cars: 3 cars or vans in household; measures: Value,Cars: 4 or more cars or vans in household; measures: Value,Distance travelled to work: Less than 2km; measures: Value,Distance travelled to work: 2km to less than 5km; measures: Value,Distance travelled to work: 5km to less than 10km; measures: Value,Distance travelled to work: 10km to less than 20km; measures: Value,Distance travelled to work: 20km to less than 30km; measures: Value,Distance travelled to work: 30km to less than 40km; measures: Value,Distance travelled to work: 40km to less than 60km; measures: Value,Distance travelled to work: 60km and over; measures: Value,Distance travelled to work: Work mainly at or from home; measures: Value,Distance travelled to work: Other; measures: Value,Economic Activity: Economically active: Employee: Part-time; measures: Value,Economic Activity: Economically active: Employee: Full-time; measures: Value,Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value,Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value,Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value,Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value,Economic Activity: Economically active: Unemployed; measures: Value,Economic Activity: Economically active: Full-time student; measures: Value,Economic Activity: Economically inactive: Retired; measures: Value,Economic Activity: Economically inactive: Student (including full-time students); measures: Value,Economic Activity: Economically inactive: Looking after home or family; measures: Value,Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value,Economic Activity: Economically inactive: Other; measures: Value,Age: Age 0 to 4; measures: Value,Age: Age 5 to 7; measures: Value,Age: Age 8 to 9; measures: Value,Age: Age 10 to 14; measures: Value,Age: Age 15; measures: Value,Age: Age 16 to 17; measures: Value,Age: Age 18 to 19; measures: Value,Age: Age 20 to 24; measures: Value,Age: Age 25 to 29; measures: Value,Age: Age 30 to 44; measures: Value,Age: Age 45 to 59; measures: Value,Age: Age 60 to 64; measures: Value,Age: Age 65 to 74; measures: Value,Age: Age 75 to 84; measures: Value,Age: Age 85 to 89; measures: Value,Age: Age 90 and over; measures: Value,No Cars and Vans,1 Car or Van,"(2, 3, 4) Car or Van",Young 0-19,Working-age 20-64,Retired-age 65-90,Distance (Work from home),Distance < 10 km,10 km < Distance < 30 km,30 km < Distanc < 60 km,Unemployed,Economically active,Economically Inactive,cluster,P1,P2
East Riding of Yorkshire,E06000011,Total,25200,62802,42328,9463,3239,27211,17065,24412,29827,11759,6293,5188,6184,18942,11876,37856,90761,1087,6040,5863,11844,8795,6614,47790,9149,7849,7720,4226,16400,9990,6640,18625,4191,8229,7976,15779,15073,60345,72406,27070,38716,23720,5947,3072,25200,62802,55030,72051,190673,71455,18942,68688,41586,17665,8795,160065,76734,1,6.781532,-0.22197892
"Kingston upon Hull, City of",E06000010,Total,45748,47612,16002,2588,646,22484,39799,21744,5773,1946,1198,1070,3541,5676,7672,28041,68035,418,1808,2352,5236,15296,6944,23025,13243,9482,11524,5206,17358,8754,5220,13944,3090,6413,7913,24040,20274,52108,47717,13844,18301,12788,3166,1476,45748,47612,19236,62692,157983,35731,5676,84027,7719,5809,15296,112834,62480,2,9.778396,-5.9341993
North East Lincolnshire,E06000012,Total,21481,30338,14469,2638,781,15634,21831,10499,6022,1845,1278,858,2534,4574,5701,19086,42039,306,1581,1763,3834,7486,3132,18018,4825,5635,5612,2506,10005,5546,3420,9264,2004,4119,4148,10521,9987,29802,32277,10236,14733,9813,2469,1272,21481,30338,17888,38506,92823,28287,4574,47964,7867,4670,7486,71741,36596,0,9.086724,-4.357481
North Lincolnshire,E06000013,Total,14617,30714,19450,4454,1449,14268,16130,10639,12101,4937,2918,1921,3070,6841,5276,18768,48278,413,2031,2163,4262,5869,2884,20296,4569,5433,5151,2212,10282,5782,3595,9550,2132,4217,3806,9522,9969,31667,35433,11452,16263,10012,2542,1222,14617,30714,25353,39364,98043,30039,6841,41037,17038,7909,5869,78799,37661,3,7.8660874,-1.9625087
York,E06000014,Total,21808,38999,18535,3210,1000,23810,26163,11687,6239,4207,4582,2954,3451,9297,6331,22487,57032,453,2391,3252,6232,4582,8516,20688,14387,4107,3678,1984,10677,5747,3601,9712,2039,4179,7879,19746,14159,38818,36363,11716,16929,11629,3200,1657,21808,38999,22745,43834,120802,33415,9297,61660,10446,10987,4582,100363,44844,2,10.19732,-7.0547614
North Yorkshire,E10000023,Total,45716,110448,76275,17670,6485,63714,35419,31479,42516,25515,11864,8486,12269,45617,22322,66097,166951,2385,13167,13016,28181,13274,11029,75620,14292,14434,12113,6247,31040,18505,12344,34410,7406,15019,13634,31394,29923,106914,129966,44622,65334,41076,10891,5898,45716,110448,100430,132358,342819,123199,45617,130612,68031,32619,13274,300826,122706,1,6.7642565,0.17866865
Barnsley,E08000016,Total,27108,43197,24317,4804,1308,16863,19539,17915,18968,8001,1876,1128,3043,7945,8301,24807,62841,515,2639,2863,7086,8738,3817,28008,6225,7435,11925,3506,13957,7798,4764,13378,2989,5804,5597,13533,14446,45725,48377,14843,22080,13250,3279,1401,27108,43197,30429,54287,136924,40010,7945,54317,26969,6047,8738,104568,57099,0,8.805458,-3.3207028
Doncaster,E08000017,Total,35102,54987,28936,5768,1694,20502,25659,26358,19433,8124,3913,3416,4564,11055,10791,33112,80998,734,3305,3941,8216,12697,4767,34110,8765,10746,12958,6528,19220,10558,6514,17407,3794,7907,7236,19417,20239,58258,61864,18847,27109,17660,4346,2026,35102,54987,36398,72636,178625,51141,11055,72519,27557,11893,12697,135073,73107,0,8.697806,-3.5660944
Rotherham,E08000018,Total,28756,45191,26931,5644,1771,16294,22228,25968,21791,3246,1690,2459,3550,8748,8897,28830,68860,598,2839,3244,7313,9821,4394,31117,7405,8864,10614,4060,15738,8923,5722,15664,3215,6797,6205,15227,15422,49874,52987,16664,24783,14560,3684,1815,28756,45191,34346,62264,150174,44842,8748,64490,25037,7699,9821,116078,62060,0,8.829743,-3.8472898
Sheffield,E08000019,Total,75968,97721,45766,8154,2319,43491,60057,55808,23191,5489,3318,6474,8702,18553,19235,56868,140933,1216,5503,7835,15467,19626,22791,52941,44212,16682,18418,8512,33977,18825,11512,30193,6177,12627,23505,56134,38805,110267,96291,28687,44688,29237,7600,4173,75968,97721,56239,136816,330184,85698,18553,159356,28680,18494,19626,250613,140765,2,9.849687,-6.7721863
Bradford,E08000032,Total,60799,85678,42500,7882,2437,39380,50949,40852,34717,9010,1785,2804,4745,19312,15383,52795,125745,1725,6199,8721,14828,21224,12490,43961,23311,24487,18176,12555,41167,22903,14579,36268,7414,14248,13706,35679,38810,108439,93087,26760,35488,24300,6493,3111,60799,85678,52819,150285,302775,69392,19312,131181,43727,9334,21224,222503,122490,0,9.601954,-5.0856524
Calderdale,E08000033,Total,24219,38305,21019,3902,1176,17372,21761,18300,12837,5308,2047,1098,1729,9506,6687,21923,57617,585,2837,3650,6999,7394,3888,22405,6156,5844,6510,2958,12906,7403,4579,12563,2730,5163,4736,11421,12089,41938,42482,13344,17593,10585,2831,1463,24219,38305,26097,50080,121274,32472,9506,57433,18145,4874,7394,97499,43873,0,9.189131,-3.959931
